pub,label,doi
http://info.deepcarbon.net/individual/631cf205-69c4-433c-aa66-62cbbf9004a1,Important role for organic carbon in subduction-zone fluids in the deep carbon cycle,10.1038/ngeo2291
http://info.deepcarbon.net/individual/d0d7d01d9-ad18-4e18-9138-5fc24e4e03f0,STRUCTURE AND COMPRESSION OF CRYSTALLINE METHANE AT HIGH-PRESSURE AND ROOM-TEMPERATURE,10.1063/1.91909
http://info.deepcarbon.net/individual/ab622917-3084-47de-ac4b-dc513ef1b0f6,"Natural seepage of shale gas and the origin of ���eternal flames��� in the Northern Appalachian Basin, USA",10.1016/j.marpetgeo.2013.02.009
http://info.deepcarbon.net/individual/dd112bf13-981f-47a4-96a5-78e6fed154b0,Biologically induced mineralization by bacteria,10.2113/0540095
http://info.deepcarbon.net/individual/1f91b4b7-b51a-4227-b04e-c051d653e5ca,Deviatoric stress-induced phase transitions in diamantane,10.1063/1.4897252
http://info.deepcarbon.net/individual/0a219192-ff04-4b38-8a79-03a452c3b711,Extending the known range of glycerol ether lipids in the environment: structural assignments based on tandem mass spectral fragmentation patterns,10.1002/rcm.6355
http://info.deepcarbon.net/individual/db6878817-bda1-4766-b5aa-04d32303d722,Enhancing the mechanical properties of single-crystal CVD diamond,10.1088/0953-8984/21/36/364215
http://info.deepcarbon.net/individual/d72ad5417-bcda-48a8-a959-d35475cdc68f,Carbon Mineral Evolution,10.2138/rmg.2013.75.4
http://info.deepcarbon.net/individual/d58c252a1-47c3-4e6d-b157-81ac3b8c7591,Constraints on the phase diagram of nonmolecular CO2 imposed by infrared spectroscopy,10.1103/PhysRevB.80.184109
http://info.deepcarbon.net/individual/de9b108f7-4ba9-4139-b2f4-9a256f2b73eb,Thermodynamics of calcite growth: Baseline for understanding biomineral formation,10.1126/science.282.5389.724
http://info.deepcarbon.net/individual/bb5edb7e-8bf7-4846-a37b-10cc3edc4d03,Metagenomic Evidence for H2 Oxidation and H2 Production by Serpentinite-Hosted Subsurface Microbial Communities,10.3389/fmicb.2011.00268
http://info.deepcarbon.net/individual/b3e879e3-1068-44bf-ae37-bfb55c98c508,Novel Cultivation-Based Approach To Understanding the Miscellaneous Crenarchaeotic Group (MCG) Archaea from Sedimentary Ecosystems,10.1128/AEM.02153-13
http://info.deepcarbon.net/individual/n2826,Provenance representation for the National Climate Assessment in the Global Change Information System,10.1109/TGRS.2013.2262179
http://info.deepcarbon.net/individual/5b71813f-0958-42f5-a63d-f203806f173d,Volatile-rich silicate melts from Oldoinyo Lengai volcano (Tanzania): Implications for carbonatite genesis and eruptive behavior,10.1016/j.epsl.2012.11.006
http://info.deepcarbon.net/individual/de70db7df-36ea-4a9f-948c-66db04f3a4dd,Abiogenic methane formation and isotopic fractionation under hydrothermal conditions,10.1126/science.285.5430.1055
http://info.deepcarbon.net/individual/d36fcfc80-dffe-4cf7-8e55-7d4054d0f541,Carbon Dioxide Carbonates in the Earth's Mantle: Implications to the Deep Carbon Cycle,10.1002/anie.201104689
http://info.deepcarbon.net/individual/dc2105c63-b226-4be9-8090-195cc165cc65,Between carbonatite and lamproite - Diamondiferous Torngat ultramafic lamprophyres formed by carbonate-fluxed melting of cratonic MARID-type metasomes,10.1016/j.gca.2008.03.008
http://info.deepcarbon.net/individual/5af517f0-9b49-4b9d-9721-eb5aae2d3f11,Single-crystal diffraction at megabar conditions by synchrotron radiation,10.1080/08957959.2013.831088
http://info.deepcarbon.net/individual/276125ff-a527-495a-9d69-0e8d50c9f336,Rhenium variations in molybdenite (MoS2): Evidence for progressive subsurface oxidation,10.1016/j.epsl.2013.01.034
http://info.deepcarbon.net/individual/d39878549-9c18-4bc8-b335-8086f0302674,Effect of dilution on the spin pairing transition in rhombohedral carbonates,10.1080/08957959.2010.485391
http://info.deepcarbon.net/individual/dc78ab78f-0eb5-4028-a737-78edf7ad9ec0,"Geochemical roots of autotrophic carbon fixation: Hydrothermal experiments in the system citric acid, H2O-(+/- FeS)-(+/- NiS)",10.1016/S0016-7037(01)00674-3
http://info.deepcarbon.net/individual/bab0f9a6-7603-495a-87f6-e11309dbc80d,SEM : tool for discovering concept mapping in Earth science related domain,10.1007/s12145-014-0203-1
http://info.deepcarbon.net/individual/1e6761a7-cff7-4801-b729-34a2f58e06b5,Phase relations in the carbon-saturated C���Mg���Fe���Si���O system and C and Si solubility in liquid Fe at high pressure and temperature: implications for planetary interiors,10.1007/s00269-013-0600-x
http://info.deepcarbon.net/individual/n890,Phylogeny and phylogeography of functional genes shared among seven terrestrial subsurface metagenomes reveal N-cycling and microbial evolutionary relationships,10.3389/fmicb.2104.00531
http://info.deepcarbon.net/individual/3f92f4ae-ca95-46fe-a200-cc119da71d82,P-V-T equations of state for iron carbides Fe3C and Fe7C3 and their relationships under the conditions of the Earth���s mantle and core,10.1134/S1028334X13120192
http://info.deepcarbon.net/individual/d6029b106-606a-48e3-9ed1-8a8ea2f36b21,"Microbially influenced formation of 2,724-million-year-old stromatolites",10.1038/ngeo107
http://info.deepcarbon.net/individual/f888e362-b38f-4c7b-936b-3419c6976e00,Iron reduction by the deep-sea bacterium Shewanella profunda LT13a under subsurface pressure and temperature conditions,10.3389/fmicb.2014.00796
http://info.deepcarbon.net/individual/0aba4764-db9a-44a5-822e-7ad155de070d,Electronic Properties and Metrology Applications of the Diamond <span class=,10.1103/PhysRevLett.112.047601
http://info.deepcarbon.net/individual/n4995,Electronic Properties and Metrology Applications of the Diamond NV��� Center under Pressure,10.1103/PhysRevLett.112.047601
http://info.deepcarbon.net/individual/dd129d765-7f3f-403f-ae04-52ff8c032b2d,Vertical zoning of oil and gas formation: historico-genetic aspects,10.1016/j.rgg.2009.03.009
http://info.deepcarbon.net/individual/f7ba6a1a-b82f-49ae-bc9b-46acdc5fdee3,A virtual experiment control and data acquisition system for in situ laser heated diamond anvil cell Raman spectroscopy,10.1063/1.3484187
http://info.deepcarbon.net/individual/9e2f226c-0b7f-4bc3-97ad-b344687c9018,Carbon-Bearing Fluids at Nanoscale Interfaces,10.1016/j.proeps.2013.03.226
http://info.deepcarbon.net/individual/418f75a9-c202-4b50-8e69-1a3db06ad66b,Hydrocarbon,10.5772/2722
http://info.deepcarbon.net/individual/a57d1d83-220d-4788-affd-24ed4ea1c94e, Sorption Phase of Supercritical CO 2 in Silica Aerogel: Experiments and Mesoscale Computer Simulations ,10.1021/jp503739x
http://info.deepcarbon.net/individual/e8ed2d4c-dddc-44eb-b445-0dfb4dbaf01c,"MICRO- AND NANOSCALE GRAPHITE CONES AND TUBES FROM HACKMAN VALLEY, KOLA PENINSULA, RUSSIA",10.2113/gscanmin.45.2.379
http://info.deepcarbon.net/individual/218bfebe-99cf-4c84-8629-14603cdc0702,"Boron, lithium and methane isotope composition of hyperalkaline waters (Northern Apennines, Italy): Terrestrial serpentinization or mixing with brine?",10.1016/j.apgeochem.2012.08.018
http://info.deepcarbon.net/individual/fac9150a-4d65-4389-b59c-e1b187fdbb6c,Materials in extreme environments,10.1063/1.3265234
http://info.deepcarbon.net/individual/n226,Geochemistry: A piece of the deep carbon puzzle,10.1038/ngeo2152
http://info.deepcarbon.net/individual/fe92d834-2ff1-4f6a-aad2-cd06ae1fead7,Erratum to: ���Stability conditions of polycyclic aromatic hydrocarbons at high pressures and temperatures���,10.1134/S001670291424001X
http://info.deepcarbon.net/individual/dc110dfe6-b9b8-41ad-bb73-d16cb86ab85e,HEXAGONAL DIAMOND - A NEW FORM OF CARBON,10.1063/1.1841236
http://info.deepcarbon.net/individual/d71919b59-a52e-4196-9f4d-7d0b3ee0b7f4,Organic compounds in carbonaceous meteorites,10.1039/b103775g
http://info.deepcarbon.net/individual/dbf30a745-a83d-43c7-9d2e-076e230365e4,Nature and Extent of the Deep Biosphere,10.2138/rmg.2013.75.17
http://info.deepcarbon.net/individual/n4753,Pressure as an environmental parameter for microbial life - A review,10.1016/j.bpc.2013.06.019
http://info.deepcarbon.net/individual/aa17890d-fc2f-4e21-a2d1-8c300e399c9c,Monitoring microbial redox transformations of metal and metalloid elements under high pressure using in situ X-ray absorption spectroscopy,10.1111/j.1472-4669.2010.00270.x
http://info.deepcarbon.net/individual/d26980788-69bd-4cb3-842e-0420093e77c9,Monitoring microbial redox transformations of metal and metalloid elements under high pressure using in situ X-ray absorption spectroscopy,10.1111/j.1472-4669.2010.00270.x
http://info.deepcarbon.net/individual/45aae101-6fb5-4875-aee0-5efa40557994,Neon identifies two billion year old fluid component in Kaapvaal Craton,10.1016/j.chemgeo.2011.01.028
http://info.deepcarbon.net/individual/e4467274-b97f-40b6-82f6-a5ad8e7e3e14,The central role of ketones in reversible and irreversible hydrothermal organic functional group transformations,10.1016/j.gca.2012.08.031
http://info.deepcarbon.net/individual/b3d778ec-2b84-42c5-a69c-bbce5dd14c9b,Carbonate pseudotachylytes: evidence for seismic faulting along carbonate faults,10.1111/j.1365-3121.2011.00997.x
http://info.deepcarbon.net/individual/d2dc90bb1-f357-43dd-a617-10ca8a4c8e50,Water in Earth's mantle,10.1063/PT.3.1476
http://info.deepcarbon.net/individual/99d978ca-0c80-4c5b-920a-ebd9609dac7c,Phase diagram of carbon dioxide: update and challenges,10.1080/08957959.2010.523000
http://info.deepcarbon.net/individual/d1195abb5-6d15-49e4-8f61-a6e5c8b86a62,"CRYSTAL-STRUCTURE REFINEMENTS OF MAGNESITE, CALCITE, RHODOCHROSITE, SIDERITE, SMITHONITE, AND DOLOMITE, WITH DISCUSSION OF SOME ASPECTS OF THE STEREOCHEMISTRY OF CALCITE TYPE CARBONATES",10.1524/zkri.1981.156.3-4.233
http://info.deepcarbon.net/individual/d09c77be3-5dfa-4fc9-b9e2-9cc1f0e04447,"Superdense CO2 inclusions in Cretaceous quartz-stibnite veins hosted in low-grade Variscan basement of the Western Carpathians, Slovakia",10.1007/s00126-005-0042-6
http://info.deepcarbon.net/individual/df16c8348-53b6-4939-9007-b66749491f34,High-pressure aragonite phenocrysts in carbonatite and carbonated syenite xenoliths within an alkali basalt,10.2138/am.2013.4410
http://info.deepcarbon.net/individual/18ba69e5-e9a3-4e75-92c4-f67cfe6fcc10,Melting and phase transitions of nitrogen under high pressures and temperatures,10.1063/1.4885724
http://info.deepcarbon.net/individual/n11097,Insights into environmental controls on microbial communities in a continental serpentinite aquifer using a microcosm-based approach,10.3389/fmicb.2014.00604
http://info.deepcarbon.net/individual/dd91302f1-1f1c-4e47-8280-3bd7dc990f3e,Mineral Environments on the Earliest Earth,10.2113/gselements.6.1.25
http://info.deepcarbon.net/individual/d7900927a-c7b3-4874-8d2b-764961ecbd19,High-energy-density extended CO solid,10.1038/nmat1321
http://info.deepcarbon.net/individual/de3f0a947-2f60-4b7c-bad1-ddf989f5014e,"Abiogenic hydrocarbons in commercial gases from the Songliao Basin, China",10.1007/s11430-009-0015-1
http://info.deepcarbon.net/individual/d525d18c5-5486-4b57-b354-6febc12420d9,Evolutionary response by bivalves to changing Phanerozoic sea-water chemistry,10.1017/S0016756897007061
http://info.deepcarbon.net/individual/f2e43377-c0fc-4441-ae93-64b44c31fc79, Pore Size Effects on the Sorption of Supercritical CO 2 in Mesoporous CPG-10 Silica ,10.1021/jp209341q
http://info.deepcarbon.net/individual/db637e476-2510-4bb9-83da-c78834e28781,"METHANE HYDROGEN GAS SEEPS, ZAMBALES OPHIOLITE, PHILIPPINES - DEEP OR SHALLOW ORIGIN",10.1016/0009-2541(88)90116-7
http://info.deepcarbon.net/individual/b60e2365-18b9-4e18-8deb-194063e32b31,Insights into C and H storage in the altered oceanic crust: Results from ODP/IODP Hole 1256D,10.1016/j.gca.2010.11.027
http://info.deepcarbon.net/individual/d4638e918-39e1-4beb-b1c2-3d8f57d36390,Mineral Carbonation of CO(2),10.2113/gselements.4.5.333
http://info.deepcarbon.net/individual/ed15e346-9382-4e67-b7ad-71cf2ad63eee,Mineral���organic interfacial processes: potential roles in the origins of life,10.1039/c2cs35112a
http://info.deepcarbon.net/individual/3870befc-a605-40d4-97fd-e07a25ce4df5,Experimental Perspectives of Mineral Dissolution and Precipitation due to Carbon Dioxide-Water-Rock Interactions,10.2138/rmg.2013.77.5
http://info.deepcarbon.net/individual/d8b377df3-3a09-4c4f-a07c-6e33219782f8,NYEREREITE - NEW VOLCANIC CARBONATE MINERAL FROM OLDOINYO-LENGAI TANZANIA,10.1524/zkri.1977.145.1-2.73
http://info.deepcarbon.net/individual/d3db6b706-cbc6-4c7f-b40e-5bc2e6892fc7,EARLY DIAMOND MAKING AT GENERAL-ELECTRIC,10.1119/1.15895
http://info.deepcarbon.net/individual/d5399a7d3-d0ea-4866-8cf8-f5d1e4d2138a,New transformations of CO2 at high pressures and temperatures,10.1103/PhysRevLett.87.075701
http://info.deepcarbon.net/individual/d77a3f7ca-ace6-475c-99c4-f9307e6c04fd,Late formation and prolonged differentiation of the Moon inferred from W isotopes in lunar metals,10.1038/nature06428
